tbs,snr,bler,itbs,nr,nru
16,17,0,0,16,16
16,17,0,0,32,32
16,17,0,0,64,64
16,17,0,0,128,128
16,17.5,0,0,1,1
16,17.5,0,0,2,2
16,17.5,0,0,4,4
16,17.5,0,0,8,8
16,17.5,0,0,16,16
16,17.5,0,0,32,32
16,17.5,0,0,64,64
16,17.5,0,0,128,128
16,18,0,0,1,1
16,18,0,0,2,2
16,18,0,0,4,4
16,18,0,0,8,8
16,18,0,0,16,16
16,18,0,0,32,32
16,18,0,0,64,64
16,18,0,0,128,128
16,18.5,0,0,1,1
16,18.5,0,0,2,2
16,18.5,0,0,4,4
16,18.5,0,0,8,8
16,18.5,0,0,16,16
16,18.5,0,0,32,32
16,18.5,0,0,64,64
16,18.5,0,0,128,128
16,19,0,0,1,1
16,19,0,0,2,2
16,19,0,0,4,4
16,19,0,0,8,8
16,19,0,0,16,16
16,19,0,0,32,32
16,19,0,0,64,64
16,19,0,0,128,128
16,19.5,0,0,1,1
16,19.5,0,0,2,2
16,19.5,0,0,4,4
16,19.5,0,0,8,8
16,19.5,0,0,16,16
16,19.5,0,0,32,32
16,19.5,0,0,64,64
16,19.5,0,0,128,128
16,20,0,0,1,1
16,20,0,0,2,2
16,20,0,0,4,4
16,20,0,0,8,8
16,20,0,0,16,16
16,20,0,0,32,32
16,20,0,0,64,64
16,20,0,0,128,128
24,-30,0.9936828613,1,128,128
24,-30,1,1,1,1
24,-30,1,1,2,2
24,-30,1,1,4,4
24,-30,1,1,8,8
24,-30,1,1,16,16
24,-30,1,1,32,32
24,-30,1,1,64,64
24,-29.5,0.9852294922,1,128,128
24,-29.5,1,1,1,1
24,-29.5,1,1,2,2
24,-29.5,1,1,4,4
24,-29.5,1,1,8,8
24,-29.5,1,1,16,16
24,-29.5,1,1,32,32
24,-29.5,1,1,64,64
24,-29,0.967376709,1,128,128
24,-29,0.9999389648,1,64,64
24,-29,1,1,1,1
24,-29,1,1,2,2
24,-29,1,1,4,4
24,-29,1,1,8,8
24,-29,1,1,16,16
24,-29,1,1,32,32
24,-28.5,0.9296569824,1,128,128
24,-28.5,0.9995117188,1,64,64
24,-28.5,1,1,1,1
24,-28.5,1,1,2,2
24,-28.5,1,1,4,4
24,-28.5,1,1,8,8
24,-28.5,1,1,16,16
24,-28.5,1,1,32,32
24,-28,0.8618469238,1,128,128
24,-28,0.9989929199,1,64,64
24,-28,1,1,1,1
24,-28,1,1,2,2
24,-28,1,1,4,4
24,-28,1,1,8,8
24,-28,1,1,16,16
24,-28,1,1,32,32
24,-27.5,0.7513122559,1,128,128
24,-27.5,0.9979858398,1,64,64
24,-27.5,1,1,1,1
24,-27.5,1,1,2,2
24,-27.5,1,1,4,4
24,-27.5,1,1,8,8
24,-27.5,1,1,16,16
24,-27.5,1,1,32,32
24,-27,0.6064758301,1,128,128
24,-27,0.9941711426,1,64,64
24,-27,1,1,1,1
24,-27,1,1,2,2
24,-27,1,1,4,4
24,-27,1,1,8,8
24,-27,1,1,16,16
24,-27,1,1,32,32
24,-26.5,0.4295959473,1,128,128
24,-26.5,0.9858703613,1,64,64
24,-26.5,0.9999694824,1,32,32
24,-26.5,1,1,1,1
24,-26.5,1,1,2,2
24,-26.5,1,1,4,4
24,-26.5,1,1,8,8
24,-26.5,1,1,16,16
24,-26,0.2574462891,1,128,128
24,-26,0.9680175781,1,64,64
24,-26,0.9999389648,1,32,32
24,-26,1,1,1,1
24,-26,1,1,2,2
24,-26,1,1,4,4
24,-26,1,1,8,8
24,-26,1,1,16,16
24,-25.5,0.1315917969,1,128,128
24,-25.5,0.9311828613,1,64,64
24,-25.5,0.999786377,1,32,32
24,-25.5,1,1,1,1
24,-25.5,1,1,2,2
24,-25.5,1,1,4,4
24,-25.5,1,1,8,8
24,-25.5,1,1,16,16
24,-25,0.0531616211,1,128,128
24,-25,0.8646850586,1,64,64
24,-25,0.9994506836,1,32,32
24,-25,1,1,1,1
24,-25,1,1,2,2
24,-25,1,1,4,4
24,-25,1,1,8,8
24,-25,1,1,16,16
24,-24.5,0.0170898438,1,128,128
24,-24.5,0.7492675781,1,64,64
24,-24.5,0.9977722168,1,32,32
24,-24.5,1,1,1,1
24,-24.5,1,1,2,2
24,-24.5,1,1,4,4
24,-24.5,1,1,8,8
24,-24.5,1,1,16,16
24,-24,0.0039367676,1,128,128
24,-24,0.6024475098,1,64,64
24,-24,0.9941101074,1,32,32
24,-24,1,1,1,1
24,-24,1,1,2,2
24,-24,1,1,4,4
24,-24,1,1,8,8
24,-24,1,1,16,16
24,-23.5,0.0008850098,1,128,128
24,-23.5,0.4299926758,1,64,64
24,-23.5,0.985534668,1,32,32
24,-23.5,0.9999389648,1,16,16
24,-23.5,1,1,1,1
24,-23.5,1,1,2,2
24,-23.5,1,1,4,4
24,-23.5,1,1,8,8
24,-23,0.0002441406,1,128,128
24,-23,0.2597961426,1,64,64
24,-23,0.9668579102,1,32,32
24,-23,0.9998474121,1,16,16
24,-23,1,1,1,1
24,-23,1,1,2,2
24,-23,1,1,4,4
24,-23,1,1,8,8
24,-22.5,0,1,128,128
24,-22.5,0.1340026855,1,64,64
24,-22.5,0.9313659668,1,32,32
24,-22.5,0.999786377,1,16,16
24,-22.5,1,1,1,1
24,-22.5,1,1,2,2
24,-22.5,1,1,4,4
24,-22.5,1,1,8,8
24,-22,0,1,128,128
24,-22,0.054901123,1,64,64
24,-22,0.8638000488,1,32,32
24,-22,0.9991760254,1,16,16
24,-22,1,1,1,1
24,-22,1,1,2,2
24,-22,1,1,4,4
